Summary,Issue Type,Status,Project name,Project type,Description
Missing condition picker when editing a text on a subpage,Bug,Awaiting Review,Sakai,software,Missing condition picker when editing a text on a subpage
Missing condition picker when editing a text on a subpage,Bug,Resolved,S2U UNIDIGITAL 2023,software,Missing condition picker when editing a text on a subpage
"Web services: integrateGradebook is probably outdated, make it call Assignments code directly",Improvement,Awaiting Review,Sakai,software,"In the Assignments.java web service thereâ€™s this integrateGradebook function with this comment:{noformat}//  This is a copy of the code  inAssignmentAction.java{noformat}Iâ€™m pretty sure thatâ€™s no longer the case, mainly because the assingments method is now part of the AssignmentToolUtils class.
Iâ€™d say it would be a good idea to re-use that method (maybe via the AssignmentService), make the WS call it directly and avoid outdate/duplicated code."
UserProcessor missing placeholder in log.debug ,Bug,Awaiting Review,Sakai,software,Not seeing info in log.debug
Dates are missing when creating a new Assigment from Lessons,Bug,Awaiting Review,Sakai,software,"Dates are missing when creating a new Assigment from Lessons.

See attached image."
Error in assignments when using gradebook categories,Bug,Awaiting Review,Sakai,software,"The problem occurs when Sakai tries to parse the points (String) to Double type. This problem affects languages that use commas instead of dots on decimals.

The internal logic attempts to compare the points of the task and the points of the category. The problem arises when using commas (commonly used in Spanish) which prevents saving. It appears that it tries to convert the string with commas to a Double, which generates an error that prevents saving the task."
LTI should support sending the institutional id as the lis_person_sourcedid,Feature Request,Awaiting Review,Sakai,software,"Other tools support using the institutional id (via CandidateDetailProvider) typically during exports which are then later used for things like grade entry into an SIS.

It is also possible that during LTI exchanges that the institutional id would make sense to be transmitted, a likely parameter for ""lis_person_sourcedid""."
Resources: Link migration not working for URL content,Bug,Resolved,Sakai,software,"On a site which uses the course year as part of its ID, like â€˜SAK_12345_2023â€™
Upload a file to the Resources tool and access to its details to copy the item address (URL)
Then create a new URL item using the previous address

If later you create a new site for the upcoming academic course ('SAK_12345_2024') and import the data from the previous site, the URL content will keep pointing to the previous site.
But instead it should automatically update with the corresponding year (there is an existing method for that in the code)."
Rubrics: Unable to delete a rubric,Bug,In Progress,Sakai,software,"When attempting to delete a rubric, the screen grays out as if the modal was going to open, but no modal ever opens."
Assignments-Sakai Grader: console error if on student without submission and selecting to navigate between students with a submission,Bug,Awaiting Review,Sakai,software,"If the instructor is grading assignments and is on a student without a submission and decides they only want to navigate between students with a submission, the page gets out of sync and there is a console error. 

{noformat}grader.js?version=df3fb799:4 
 Uncaught 
TypeError: Cannot read properties of undefined (reading 'hydrated')
    at Gt._hydrateNext (grader.js?version=df3fb799:4:63614)
    at Gt._next (grader.js?version=df3fb799:783:13850)
    at dt.handleEvent (chunk-3B44UYHW.js:6:6020)
_hydrateNext	@	grader.js?version=df3fb799:4
_next	@	grader.js?version=df3fb799:783
handleEvent	@	chunk-3B44UYHW.js:6{noformat}

!image-20240729-003320.png|width=503,height=225,alt=""image-20240729-003320.png""!"
Sakai Grader: TypeError: Cannot read properties of null (reading 'focus'),Bug,Awaiting Review,Sakai,software,"Every time the Sakai Grader is closed or saved, there is a console error. 

{noformat}Uncaught (in promise) TypeError: Cannot read properties of null (reading 'focus')
    at SakaiGrader.js:273:47
{noformat}



!image-20240729-002313.png|width=853,height=684,alt=""image-20240729-002313.png""!"
"Lessons: When you send the grade in Spanish to the gradebook, it arrives without decimal",Bug,Open,Sakai,software,"Currently, grades submitted in Spanish to the gradebook are arriving without the corresponding decimal values. "
T&Q: Incorrect maximum question limit in random draw from multiple pools,Bug,Open,Sakai,software,"When creating an assessment in Test & Quizzes tool, if you choose the ""Random draw from multiple question pools"" option, you can select several question pools and decide how many questions in total to randomly display from these pools. 

At most, you can select the total number of questions across all pools. However, when editing the part again later, the maximum number is calculated as the total number of questions in the first selected pool, not the sum of all pools."
"LTI-Assignments: Add push notification when grading, so the SakaiGrader gets updated comments",Bug,Verified,Sakai,software,This builds on [https://sakaiproject.atlassian.net/browse/SAK-46953|https://sakaiproject.atlassian.net/browse/SAK-46953|smart-link] and adds comments to push notifications from the LTI tool in the iframe to the off screen SakaiGrader.
Reset Pass instructions should be unescaped to allow for HTML,Bug,Resolved,Sakai,software,Admins many want to set a link in their instructions like <a href=â€https://xxxxxxâ€>Go to institutional password reset</a>
LTI Assignments cannot be graded unless SakaiGrader is used,Bug,Verified,Sakai,software,"The screen that is shown when you are grading student submissions _without_ using SakaiGrader does not know about the LTI assignment type.

Note that since this appears to me a â€œcompatibility modeâ€ with an old view of the tool, the fix is simply to launch the tool using the resource link launch (i.e. not the submission review launch like in the SakaiGrader.   Also, the grade and comments are not synchronized in the browser."
